Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SentimentScore,Company,Ticker
2025-03-17 00:00:00+05:30,3489.0,3530.449951171875,3477.35009765625,3497.699951171875,2690906,0.0,0.0,0.0003243569908655264,TCS,TCS.NS
2025-03-18 00:00:00+05:30,3497.699951171875,3497.699951171875,3497.699951171875,3497.699951171875,0,0.0,0.0,0.03429723643892106,TCS,TCS.NS
2025-03-19 00:00:00+05:30,3547.0,3547.0,3462.75,3497.10009765625,3051244,0.0,0.0,0.03726433622731362,TCS,TCS.NS
2025-03-20 00:00:00+05:30,3512.0,3578.949951171875,3512.0,3563.14990234375,2845192,0.0,0.0,-0.012449668220250863,TCS,TCS.NS
2025-03-21 00:00:00+05:30,3475.0,3616.25,3465.0,3578.10009765625,4161925,0.0,0.0,0.04736352738618271,TCS,TCS.NS
2025-03-24 00:00:00+05:30,3600.0,3649.75,3566.60009765625,3628.949951171875,1834751,0.0,0.0,-0.00513754161807177,TCS,TCS.NS
2025-03-25 00:00:00+05:30,3645.0,3710.0,3638.0,3657.75,3135390,0.0,0.0,-0.04314915043014807,TCS,TCS.NS
2025-03-26 00:00:00+05:30,3647.75,3680.5,3625.85009765625,3635.800048828125,1734499,0.0,0.0,0.016928471799759676,TCS,TCS.NS
2025-03-27 00:00:00+05:30,3614.85009765625,3663.0,3610.5,3651.199951171875,2528474,0.0,0.0,-0.0188801651803737,TCS,TCS.NS
2025-03-28 00:00:00+05:30,3651.0,3660.949951171875,3591.89990234375,3606.14990234375,2051919,0.0,0.0,-0.002471116550857466,TCS,TCS.NS
2025-04-01 00:00:00+05:30,3572.699951171875,3584.0,3525.0,3550.800048828125,2618493,0.0,0.0,-0.02236877211039322,TCS,TCS.NS
2025-04-02 00:00:00+05:30,3544.0,3564.10009765625,3530.050048828125,3543.949951171875,1764313,0.0,0.0,-0.029819880550625878,TCS,TCS.NS
2025-04-03 00:00:00+05:30,3491.0,3502.0,3396.14990234375,3403.14990234375,4537821,0.0,0.0,0.01599337803194495,TCS,TCS.NS
2025-04-04 00:00:00+05:30,3362.60009765625,3399.64990234375,3295.5,3299.39990234375,5317367,0.0,0.0,-0.030780342943405092,TCS,TCS.NS
2025-04-07 00:00:00+05:30,3100.0,3291.39990234375,3056.050048828125,3274.050048828125,6623955,0.0,0.0,0.03249008584314936,TCS,TCS.NS
2025-04-08 00:00:00+05:30,3302.050048828125,3349.0,3255.300048828125,3292.949951171875,5557558,0.0,0.0,0.017538756132013417,TCS,TCS.NS
2025-04-09 00:00:00+05:30,3260.550048828125,3270.0,3212.050048828125,3246.60009765625,2990265,0.0,0.0,-0.24331195943373046,TCS,TCS.NS
2025-04-11 00:00:00+05:30,3289.550048828125,3298.949951171875,3206.0,3231.5,7108961,0.0,0.0,-0.0491499570407531,TCS,TCS.NS
2025-03-17 00:00:00+05:30,1545.1500244140625,1594.0,1545.1500244140625,1590.050048828125,7526032,0.0,0.0,0.015742437861613306,Infosys,INFY.NS
2025-03-18 00:00:00+05:30,1590.050048828125,1590.050048828125,1590.050048828125,1590.050048828125,0,0.0,0.0,-0.03968169825906526,Infosys,INFY.NS
2025-03-19 00:00:00+05:30,1603.0,1603.0,1572.800048828125,1586.550048828125,7387068,0.0,0.0,-0.04535133914658146,Infosys,INFY.NS
2025-03-20 00:00:00+05:30,1592.0,1631.9000244140625,1592.0,1615.550048828125,7186750,0.0,0.0,0.02568537935774462,Infosys,INFY.NS
2025-03-21 00:00:00+05:30,1577.949951171875,1603.9000244140625,1563.6500244140625,1592.550048828125,10074677,0.0,0.0,-0.02526509302301777,Infosys,INFY.NS
2025-03-24 00:00:00+05:30,1597.949951171875,1607.0999755859375,1572.699951171875,1592.75,8857726,0.0,0.0,-0.003824700956218549,Infosys,INFY.NS
2025-03-25 00:00:00+05:30,1605.0,1636.1500244140625,1605.0,1628.449951171875,9890140,0.0,0.0,0.04551082599155015,Infosys,INFY.NS
2025-03-26 00:00:00+05:30,1626.0,1637.75,1595.0,1599.449951171875,6651302,0.0,0.0,0.017854277864081752,Infosys,INFY.NS
2025-03-27 00:00:00+05:30,1595.550048828125,1619.949951171875,1586.0,1603.550048828125,9426573,0.0,0.0,0.04077439477324789,Infosys,INFY.NS
2025-03-28 00:00:00+05:30,1590.0,1598.449951171875,1560.0,1570.6500244140625,6799047,0.0,0.0,-0.03180512611690797,Infosys,INFY.NS
2025-04-01 00:00:00+05:30,1539.25,1547.4000244140625,1517.8499755859375,1526.5,12680733,0.0,0.0,0.02313895254365543,Infosys,INFY.NS
2025-04-02 00:00:00+05:30,1535.199951171875,1555.6500244140625,1535.199951171875,1550.1500244140625,6193478,0.0,0.0,0.01054094036436208,Infosys,INFY.NS
2025-04-03 00:00:00+05:30,1534.6500244140625,1534.6500244140625,1485.050048828125,1496.5,10459504,0.0,0.0,0.034934046908564706,Infosys,INFY.NS
2025-04-04 00:00:00+05:30,1460.5,1472.0,1448.0,1451.6500244140625,9590254,0.0,0.0,0.04675430898157405,Infosys,INFY.NS
